common_name,pics
human,63314
Spotted Fanaloka,14831
bushpig,12256
Madagascar Crested Ibis,11916
ring-tailed vontsira,4037
unknown rodent,3870
zebu,3735
unknown bird,3636
dog,3523
broad-striped vontsira,1901
fosa,1817
red-breasted coua,1757
unknown Brown lemur,1544
common tenrec,1435
unknown rat,1330
Madagascar Magpie-robin,1207
unknown mammal,942
cat,894
Madagascar Turtle-dove,757
unknown red forest rat,754
unknown tufted-tailed rat,701
falanouc,676
red-fronted coua,533
Scaly Ground-roller,530
Eastern red forest rat,448
Pita-like Ground-roller,442
Madagascar Wood-rail,377
black rat,316
unknown hedgehog tenrec,314
unknown tenrec,307
brown-tailed vonstira,279
greater hedgehod tenrec,262
white-throated rail,232
small indian civet,225
Aye-aye,225
unknown pigeon,181
unknown lemur,167
lowland streaked tenrec,143
unknown Wood-rail,99
Henst's goshawk,98
red-capped coua,96
blue coua,72
unknown Coua,66
red-fronted brown lemur,57
common brown lemur,53
Madagascar Blue-pigeon,51
Madagascar buzzard,48
madagascar rail,47
helmeted guineafowl,44
bokiboky,43
red-bellied lemur,40
Eastern Lesser Bamboo Lemur,37
small-toothed sportive lemur,35
brown mesite,33
Rufous-headed Ground-roller,33
white-fronted brown lemur,29
Pygmy White-toothed Shrew,29
unknown bat,24
bamboo lemur,22
Tanala tuft-tailed rat,21
unknown sportive lemur,19
highland streaked tenrec,19
Madame Fleuretteï¿½s Sportive lemur,18
collared brown lemur,17
goat,15
madagascar partridge,13
crossley's vanga,13
common quail,13
unknown streaked tenrec,12
golden bamboo lemur,12
unknown shrew,11
madagascar cuckoo,11
Madagascar wagtail,11
tailess tenrec,10
horse,9
chickens,9
unknown shrew tenrec,8
unknown pig,8
unknown mouse lemur,8
spectacled tetraka,7
milne-edwards' sifaka,7
Western lesser bamboo lemur,7
Madagascar cisticola,7
Frances's sparrowhawk,6
unknown euplerid,5
pied crow,5
malagasy scops-owl,5
helmet vanga,5
brown booby,5
Diademed Sifaka,5
sparrowhawk,4
slender-billed flufftail,4
silky sifaka,4
dusky tetraka,4
stripe-throated jery,3
madagascar flufftail,3
greater dwarf lemur,3
forest rock-thrush,3
crested drongo,3
common stonechat,3
Malagasy brush warbler,3
Madagascar paradise-flycatcher,3
yellow-billed kite,2
unknown vontsira,2
red ruffed lemur,2
madagacar hoopoe,2
Madagascar white-eye,2
white-throated oxylabes,1
ward's flycatcher,1
unknown primate,1
unknown ground-roller,1
unknown greenbul,1
spectacled greenbul,1
seychelles magpie-robin,1
red lemur,1
madagascar pygmy-kingfisher,1
madagascar nightjar,1
madagascar flying fox,1
madagascar coucal,1
long-billed greenbul,1
ibis,1
harlequin quail,1
common myna,1
broad-billed roller,1
Tsingy Wood-rail,1
Short-legged Ground-roller,1
Sanford's Brown Lemur,1
Sambirano Lesser Bamboo Lemur,1
Madagascar sparrowhawk,1
Madagascar serpent-eagle,1
Madagascar fish-eagle,1
Madagascar Long-eared Owl,1
